input,output
"  Détails du cours
Créatures folles (3 à 5 ans)
Taille de la classe : 6 à 10 élèves
Résumé du cours : « Crazy Creatures » enseigne l’anglais aux enfants à travers des chansons, des arts plastiques et des jeux. Chaque leçon se concentre sur un conte pour enfants célèbre comme « La chenille très affamée ». La leçon présente le vocabulaire clé de l’histoire et les enfants jouent à des jeux, chantent des chansons et font des activités d’arts plastiques basées sur l’histoire.
Prix : 3 500 RMB/semaine, 6 500 RMB/2 semaines, 9 000 RMB/3 semaines, 11 000 RMB/4 semaines
Civilisations anciennes (8 à 12 ans)
Taille de la classe : 6 à 16 élèves
Résumé du cours : Les enfants découvriront la culture, la nourriture, les vêtements et les divertissements des peuples qui vivaient dans les civilisations anciennes, de la Chine, de la Grèce et des Mayas/Azthèques à l’Égypte ancienne. À la fin de chaque semaine, les enfants joueront une courte pièce en costume qu’ils auront eux-mêmes confectionnés. Tout au long du cours, les enfants apprendront des chansons, liront des histoires et écriront de courtes histoires et des poèmes.
Prix : 4 500 RMB/semaine, 8 000 RMB/2 semaines, 11 500 RMB/3 semaines, 14 000 RMB/4 semaines
Étude de la littérature (12 à 14 ans)
Taille de la classe : 6 à 10 élèves
Résumé du cours : Les enfants pratiqueront les compétences nécessaires pour l’examen de littérature anglaise du GCSE en analysant un roman. Le roman est « Holes » de Louis Sachar, un best-seller dans le monde entier. Ce cours permettra de développer les compétences rédactionnelles des enfants et leur capacité à répondre aux questions.
Prix : 4 500 RMB/semaine, 8 000 RMB/2 semaines
Dates : 28 juin à 2 juillet, 5 à 9 juillet, 12 à 16 juillet, 19 à 23 juillet, 26 à 30 juillet, 2 à 6 août
Heure : 9h00 à 16h00, du lundi au vendredi
Enseignement : Les cours sont dispensés par des professeurs anglophones expérimentés avec un assistant d’enseignement chinois.
Date limite de candidature : vendredi 18 juin 2010
Date limite de paiement : Le paiement doit être effectué à Harrow International School Beijing le premier jour du cours.
*Collations et déjeuner sont fournis gratuitement
*Une infirmière scolaire sera présente sur place pendant toute la durée du cours.
*Service de bus scolaire gratuit disponible 
","{
""question"": ""\""Créatures folles\"" vise à améliorer les  _  des enfants."",
""options"": [""compétences en chant"", ""compétences sociales"", ""compétences en anglais"", ""compétences informatiques""],
""answer"": ""C"",
""explanation"": ""Le résumé du cours indique que \""Crazy Creatures\"" enseigne l'anglais aux enfants à travers des chansons, des arts plastiques et des jeux, ce qui suggère qu'il vise à améliorer leurs compétences en anglais.""
}"
"Les ordinateurs sont utilisés dans l'enseignement depuis plus de vingt ans. Mais un nouveau livre affirme que ce n'est que maintenant qu'ils changent l'éducation. Et il prédit qu'il va se passer beaucoup de choses.

Le livre s'intitule ""Disrupting Class : How Disruptive Innovation Will Change the Way the World Learns"". ""L'innovation disruptive"" est une théorie développée par l'auteur principal Clayton Christensen, professeur à la Harvard Business School. Il affirme que les organisations utilisent presque toujours les nouvelles technologies créatives uniquement pour poursuivre ce qu'elles font déjà.

Les nouvelles technologies devraient changer les organisations, dit-il, et les perturber de manière positive. Elles devraient utiliser la technologie pour faire les choses différemment - par exemple, pour répondre à davantage de besoins. Le livre affirme que la force disruptive nécessaire dans l'éducation est l'apprentissage assisté par ordinateur.

Michael Horn, un autre auteur de ""Disrupting Class"", nous a parlé d'un établissement scolaire public de Boston qu'il a visité. Chaque élève du Lilla G. Frederick Middle School de Dorchester, dans le Massachusetts, dispose d'un ordinateur portable. Une classe apprenait les tempêtes. Michael Horn affirme que les ordinateurs portables ont permis de véritablement individualiser les leçons, de diviser les matières en fonction du niveau et du style d'apprentissage. À la fin du cours, tous les élèves ont participé à une discussion animée par l'enseignant.

L'apprentissage assisté par ordinateur offre aux élèves la possibilité de suivre des cours avancés non proposés dans leur école ou de reprendre des cours qu'ils ont échoués. Il sert également ceux qui ne peuvent pas se rendre physiquement à l'école, ainsi que les élèves qui sont scolarisés à domicile.

L'apprentissage assisté par ordinateur comprend les cours en ligne. Les inscriptions aux cours en ligne ont augmenté de façon spectaculaire. En 2007, les États-Unis comptaient environ un million d'inscriptions, hors cours universitaires. Les élèves pouvaient être inscrits à plus d'un cours, par le biais des écoles ou des entreprises d'éducation. Les élèves du secondaire représentent environ 70 % des inscriptions. Pourtant, à l'échelle nationale, seulement environ 1 % de tous les cours du secondaire l'année dernière étaient dispensés en ligne.

Mais les auteurs de ""Disrupting Class"" prédisent que ce chiffre atteindra 10 % dans environ six ans. Et leurs recherches suggèrent que ce chiffre sera d'environ 50 % en 2019. Et Michael Horn affirme que l'avenir de l'apprentissage en ligne pourrait être encore plus important dans les pays en développement. 
","{
""question"": ""Le passage porte principalement sur_."",
""options"": [""un nouveau livre"", ""une nouvelle façon d'apprendre"", ""des écrivains américains"", ""les avantages des ordinateurs""],
""answer"": ""B"",
""explanation"": ""Le passage explique comment les ordinateurs changent l'éducation, en particulier avec l'apprentissage assisté par ordinateur et les cours en ligne, et comment cela va continuer à se développer à l'avenir.""
}"
"Pendant des siècles, l'humanité et les chiens ont souffert d'un manque de communication. Nous pouvons dire aux chiens ce que nous voulons qu'ils fassent et parfois ils obéissent, mais nous avons toujours eu du mal à comprendre la vraie signification de leurs aboiements et de leurs gémissements. Il y a maintenant une nouvelle excitante - un traducteur pour chien a été inventé pour vous aider à communiquer avec votre ami à fourrure.

Des chercheurs de l'Université d'État de Caroline du Nord ont conçu une sorte de harnais miracle pour traducteur de chien. Ce qui est spécial, c'est qu'il ne se contente pas de s'appuyer sur les vocalises du chien pour interpréter ce que Fido raconte.

Oh non, ce harnais miracle lit et interprète également le langage corporel ordinaire des chiens, nous offrant une expérience de communication bidirectionnelle complète avec les chiens.

Le chercheur David Roberts déclare : « Les chiens communiquent principalement par le langage corporel, et l'un de nos défis était de développer des capteurs qui nous renseignent sur leur comportement en observant leur posture à distance. »

Des capteurs sur le harnais surveillent le rythme cardiaque et la température corporelle du chien, et un logiciel construit un vocabulaire, permettant à l'humain de savoir ce que le chien ressent.

Que diraient les chiens s'ils pouvaient nous parler ? L'humain peut même communiquer en retour via le harnais grâce à des moteurs de vibration, supposément en s'appuyant sur les sens du chien afin qu'il puisse comprendre ce que vous essayez de lui dire.

Le harnais pour chien est conçu pour les chiens impliqués dans les recherches et les sauvetages et autres travaux de première ligne, mais il nous fait rêver d'un bel avenir, où les humains et les chiens peuvent coexister en tant qu'égaux, le chien étant capable de s'exprimer pleinement en tout temps. 
","{
""question"": ""À quelle fin le harnais pour chien est-il conçu ?"",
""options"": [
""Il est conçu pour que les chiens comprennent ce que les gens essaient de leur dire."",
""Il est conçu pour une expérience de communication chien-humain bidirectionnelle complète."",
""Il est conçu pour surveiller le rythme cardiaque et la température corporelle du chien."",
""Il est conçu pour les chiens effectuant des recherches et des sauvetages et d'autres travaux de première ligne.""
],
""answer"": ""D"",
""explanation"": ""Le texte indique que le harnais est conçu pour les chiens impliqués dans les recherches et les sauvetages et autres travaux de première ligne.""
}"
"À quelle fréquence changez-vous de coiffure ou demandez-vous de nouvelles robes ? Vous essayez peut-être de suivre les tendances des pays occidentaux, mais vos pairs aux États-Unis ne se soucient pas autant de la mode que vous.
Une récente enquête menée auprès de lycéens en Chine, au Japon, en Corée du Sud et aux États-Unis a révélé que les adolescents asiatiques se soucient davantage de leur apparence que les jeunes aux États-Unis.
Cette enquête a été menée dans 156 lycées des quatre pays. Plus de 7 000 adolescents ont été interrogés sur leur vision de la vie et du monde.
Les Coréens du Sud, à 83 %, se soucient le plus de leur apparence. Ils étaient suivis par les Chinois et les Japonais tandis que les élèves américains ont montré le moins d'intérêt pour la mode à seulement 33 %.
""Les résultats différents montrent des différences de contexte culturel"", a déclaré Sun Yunxiao du Centre de recherche sur la jeunesse et les enfants de Chine.
Il a expliqué qu'aux États-Unis, il existe de nombreuses _ de beauté différentes, de sorte que les adolescents sont plus susceptibles d'être confiants dans leur apparence.
La grande confiance en soi des adolescents américains est démontrée dans l'enquête. Environ 85 % sont satisfaits d'eux-mêmes. Le pourcentage d'élèves chinois confiants en eux-mêmes s'élève à seulement 30 %.
Une forte ambition ( ) se voit dans les lycées chinois. Seuls deux lycéens sur cinq sont satisfaits d'une ""vie moyenne"". Les Coréens sont ensuite à 48 %, les Japonais à 66 % et les Américains à 71 %.
""Selon l'enquête, les étudiants chinois sont heureux. Mais les étudiants chinois doivent être plus indépendants et apprendre à se détendre"", a déclaré Sun. 
","{
  ""question"": ""Selon l'enquête,  _   se souciait peu de son apparence."",
  ""options"": [""les adolescents chinois"", ""les adolescents américains."", ""les adolescents coréens"", ""les adolescents japonais""],
  ""answer"": ""B"",
  ""explanation"": ""L'enquête a révélé que les Américains, à seulement 33 %, se soucient le moins de leur apparence, tandis que les Coréens, les Chinois et les Japonais se soucient davantage de leur apparence.""
}"
"Même les cerveaux d'oiseaux peuvent apprendre à connaître un continent entier - mais cela leur prend un an de migration pour le faire, suggère une équipe de recherche de Princeton.

Les scientifiques ont démontré que les moineaux adultes migrateurs peuvent trouver leur chemin vers leurs lieux de nidification hivernale même après avoir été déroutés de milliers de kilomètres.

L'équipe a d'abord amené 30 moineaux à Princeton depuis le nord de l'État de Washington, où les oiseaux étaient en train de migrer vers le sud depuis leurs lieux de reproduction estivaux en Alaska. La moitié des oiseaux étaient des juvéniles d'environ trois mois qui n'avaient jamais migré auparavant, tandis que l'autre moitié étaient des adultes qui avaient fait l'aller-retour vers leur site d'hivernage dans le sud-ouest des États-Unis au moins une fois.

Après la libération des oiseaux, ils ont tenté de reprendre leur migration, mais les deux groupes d'âge se sont rapidement désorientés.

""Tous les oiseaux se sont dispersés au début"", a déclaré Wikelski. ""Il était clair qu'ils étaient désorientés pendant quelques jours. Mais tandis que les adultes ont finalement réalisé qu'ils devaient se diriger vers le sud-ouest, les oiseaux plus jeunes ont repris leur vol droit vers le sud comme s'ils étaient toujours dans l'État de Washington.""

""Les adultes"", a déclaré Richard Holland, membre de l'équipe, ""ont retrouvé leur cap parce qu'ils possèdent quelque chose que les oiseaux plus jeunes n'ont pas, à savoir une carte interne.""

""Ces oiseaux ont besoin de deux choses pour savoir où ils sont et migrer efficacement : une 'carte' et une 'boussole'"", a déclaré Holland, chercheur postdoctoral dans le laboratoire de Wikelski. ""Ce que nous avons découvert, c'est que les juvéniles utilisent leur boussole, mais les adultes utilisent également leur carte.""

Holland a déclaré : ""Les oiseaux ne perdent pas la boussole en vieillissant, mais développent en quelque sorte la carte, appliquant finalement les deux outils pour rester sur la bonne voie pendant les vols migratoires. Les scientifiques ont déjà déterminé que la boussole est basée sur le soleil ou le champ magnétique, mais l'origine de la carte reste un mystère - un mystère que l'équipe explorera dans les années à venir.""
","{
""question"": ""Les scientifiques ne sont toujours pas sûrs  _  ."",
""options"": [""de ce qui guide les moineaux dans leurs vols migratoires"", ""sur quoi est basé une 'boussole'"", ""sur quoi est basée une 'carte'"", ""de quelle manière le champ magnétique peut aider les moineaux dans leur vol""],
""answer"": ""C"",
""explanation"": ""L'article mentionne que les scientifiques connaissent déjà le fonctionnement de la ""boussole"" des moineaux, mais qu'ils ne savent pas d'où vient leur ""carte"". ""
}"
"Les tests ne sont pas amusants, mais ils sont nécessaires. Mais dans des endroits comme le Colorado, le Connecticut et New York, nous assistons à un nouveau mouvement problématique au sein de l'éducation publique visant à convaincre les parents de retirer leurs enfants de toute participation aux tests standardisés. Ils optent pour le refus des examens conçus pour mesurer dans quelle mesure nos écoles enseignent à nos enfants. 

Examinons pourquoi certains parents optent pour le refus. L'argument le plus courant est que les tests standardisés prennent trop de temps de classe à l'enseignement. Oui, dans trop d'écoles et dans trop de districts, il y a une sur-insistance sur les tests. En tant que parent, je comprends ce problème. Ma fille est rentrée de l'école publique un jour et a dit que le cours était facile maintenant que « le test » était terminé. Et j'ai pensé : « Que communiquons-nous à nos enfants s'ils pensent que le test est la chose la plus importante - et une fois qu'il est terminé, l'apprentissage se termine ? » 

Ces districts obsédés par les tests doivent changer. Mais une nouvelle étude de Teach Plus, une organisation qui défend les élèves des écoles urbaines, a révélé qu'en moyenne, en troisième et en septième année, seulement 1,7 % du temps de classe est consacré à la préparation et à la passation de tests standardisés. Ce n'est pas du tout choquant. La plupart des gens passent un pourcentage plus important de leur temps éveillé à choisir une tenue à porter ou à regarder la télévision. 

Nous ne devrions pas non plus accepter le faux argument selon lequel les tests restreignent trop les éducateurs, l'innovation en classe ou enlèvent le plaisir d'enseigner. Cette façon de penser suppose que le test est le fin mot de l'histoire - et si tel est le point de vue, le plaisir est déjà disparu depuis longtemps. Les enseignants entrent dans cette profession parce qu'ils se soucient des enfants, croient que chacun a la capacité de réussir et veulent enseigner bien au-delà de la compétence minimale. Les enseignants les plus précieux sont ceux qui transmettent des connaissances, pas seulement des informations, et le font d'une manière qui engage les élèves et rend l'école intéressante.

« D'accord », répond la foule qui refuse de participer, « que dire des enfants qui sont stressés et souffrent d'anxiété à cause des tests standardisés ? » Vous savez quoi ? La vie peut être stressante ; elle peut être difficile. L'alternative est de remettre des prix simplement pour la participation, de donner des A pour éviter de nuire à l'ego d'un enfant - et de continuer à prendre du retard en tant que pays. Je rejette cet état d'esprit. 

Plutôt que d'encourager les parents à refuser de participer aux tests, il serait beaucoup plus productif pour les leaders de ce mouvement distrayant d'aider à améliorer les évaluations. Faire en sorte que les examens reflètent davantage l'apprentissage des élèves. En fin de compte, les élèves et les éducateurs ont besoin de données de test - le refus de participer nuit aux deux. Et cela risque de mettre en danger les progrès dont tous nos enfants ont besoin. 
","{
""question"": ""L'auteure utilise l'exemple de sa fille pour montrer   _  ."",
""options"": [""que certaines écoles accordent une importance excessive aux tests"", ""que sa fille n'est pas une bonne élève"", ""que le test est le plus important"", ""que la qualité des tests devrait être limitée""],
""answer"": ""A"",
""explanation"": ""L'auteure mentionne que sa fille a trouvé le cours facile après le test, ce qui montre que l'école se concentre trop sur les tests, et non sur l'apprentissage continu.""
}"
"Lee Ann Laraway est atteinte de poliomyélite et n'est pas capable de beaucoup bouger. La plupart des choses sont hors de sa portée. Jeannie, une labrador retriever, agit comme ses bras et ses jambes. Jeannie comprend 72 commandes ou plus. Lors d'une sortie shopping, elle peut obtenir de l'argent pour Lee Ann à la banque ou des bonbons au magasin. Elle peut payer le caissier et récupérer la monnaie. Jeannie apporte des choses à Lee Ann et les place sur ses genoux.

Jeannie a été dressée dans un endroit appelé Canine Companions for Independence, situé sur un terrain de douze acres à Santa Rosa (Californie). Le terrain a été donné par le dessinateur Charles Shultz. ""Nous dressons ici quatre types de chiens différents"", a déclaré Ken Kirsh, un dresseur de chiens. ""Chiens d'assistance auditive, chiens d'assistance, chiens de compagnie qualifiés et chiens de service.""

Les dresseurs travaillent avec des labradors et des golden retrievers pendant des heures chaque jour, mais tous les chiens ne sont pas assez bons pour être des chiens de travail.

Le travail est une affaire sérieuse. Les chiens d'assistance auditive avertissent leurs propriétaires de sons tels que les sonneries de téléphone et les sonnettes. D'autres chiens travaillent avec des patients handicapés comme Noah Habib, âgé de huit ans, qui communique avec un ordinateur spécial. Il aime quand les gens viennent lui poser des questions sur son chien. Son père dit : ""Les gens sont vraiment intéressés par le chien et viennent lui faire des câlins, jouer avec lui et lui demander ce qu'il fait, et ce sont des personnes qui ne nous aborderaient normalement pas et ne voudraient pas parler à Noah.""

Quand Lee Ann Laraway rentre à la maison avec Jeannie et ses achats, Jeannie l'aide à ouvrir la porte. ""On peut dresser un chien à faire beaucoup de choses"", a dit Lee Ann. 
","{
""question"": ""Quel type de chiens n'est pas formé dans le centre ?"",
""options"": [""Les chiens qui avertissent leurs propriétaires de sons comme les sonnettes."", ""Les chiens qui aident leurs propriétaires aveugles à traverser la route."", ""Les chiens qui ouvrent la porte à leurs propriétaires."", ""Les chiens qui travaillent avec les enfants atteints de poliomyélite.""],
""answer"": ""B"",
""explanation"": ""Le texte mentionne que les chiens d'assistance auditive, les chiens d'assistance et les chiens de service sont formés dans ce centre, mais il ne mentionne pas les chiens qui aident les aveugles à traverser la route.""
}"
"En Grande-Bretagne, les gens parlent souvent de leurs maisons : de leurs prêts hypothécaires, des taux d'intérêt et de la hausse des prix. Voici un guide de certains mots et expressions que vous pourriez rencontrer.

Il est conseillé au Royaume-Uni de négocier un prêt hypothécaire avec une banque avant de commencer vos recherches. C'est à ce moment-là que la banque vous indique le montant qu'elle est prête à vous prêter, ce qui vous permet d'avoir une idée précise de votre budget.

L'étape suivante consiste à se rendre chez un agent immobilier et de voir quel type de propriétés ils ont disponibles dans votre fourchette de prix et dans votre région. Si vous voyez quelque chose qui vous plaît, l'agent immobilier vous organisera une visite de la propriété afin que vous puissiez voir la maison ou l'appartement par vous-même.

Si vous voyez quelque chose qui vous attire, vous faites une offre. Le vendeur peut accepter ou refuser cette offre, et si le vendeur l'accepte, vous pouvez poursuivre la vente. Cependant, comme vous ne payez aucun argent à ce stade, l'offre n'est pas juridiquement contraignante et, en théorie, vous pouvez vous retirer de l'offre à tout moment.

Votre prochaine étape sera probablement d'obtenir un rapport d'expertise structurelle. Un expert qualifié inspectera la maison et rédigera un rapport qui illustrera tout problème structurel, comme l'humidité ou les problèmes de drainage.

Si vous souhaitez toujours poursuivre la vente, vous devez désigner un avocat pour s'occuper des formalités juridiques. Si vous possédez déjà une maison, vous pourriez également être occupé à essayer de la vendre. De nombreux propriétaires préfèrent vendre à des primo-accédants (ceux qui ne possèdent pas encore de maison), car ils ne sont pas dans une chaîne (en attente que d'autres personnes achètent une maison avant de pouvoir acheter leur prochaine maison).

Enfin, une fois les contrats signés et échangés, vous finalisez l'achat de votre maison. Vous recevez les clés et vous pouvez emménager quand vous le souhaitez. Vous pouvez ensuite organiser une pendaison de crémaillère. Félicitations ! 
","{
  ""question"": ""Lequel des éléments suivants N'EST PAS mentionné dans le passage ?"",
  ""options"": [
    ""Collectionneurs."",
    ""Propriétaires."",
    ""Avocats."",
    ""Arpenteurs.""
  ],
  ""answer"": ""A"",
  ""explanation"": ""Le passage parle de propriétaires, d'avocats et d'experts en bâtiment.  Il ne mentionne pas les collectionneurs.""
}"
"LOS ANGELES - Jésus Ibarra était perplexe devant le vieil homme.
Il était évidemment beaucoup plus âgé que les autres étudiants du lycée CentralAult. Et c'était un Anglo-Saxon dans un campus où la plupart des étudiants sont des Latinos, des Noirs et des Asiatiques-Américains.
""Je me suis demandé ce qu'il faisait ici"", a déclaré Ibarra, 21 ans, de Los Angeles. ""Je pensais qu'il était un visiteur. La première fois que j'ai parlé à lui, j'ai posé une question en anglais, et il a répondu en espagnol. J'ai pensé qu'il était blanc et juif. Je n'aurais jamais imaginé qu'il parlerait espagnol.""
Jacob Blitzstein a surpris ses camarades de classe tout le temps. Il n'est pas un _ homme, même s'il porte sa barbe grise soignée et ses vêtements conservateurs (traditionnels).
Blitzstein est chaleureux et sociable (il aime être avec les autres). Il aime entendre une bonne blague et adore raconter une bonne histoire. Il est déterminé, surtout lorsqu'il s'agit de réaliser son rêve.
Récemment, ce rêve s'est réalisé. Lors d'une cérémonie de remise des diplômes à laquelle ont assisté deux de ses enfants et trois de ses petits-enfants, Blitzstein, 81 ans, a obtenu son diplôme d'études secondaires.
Après que le proviseur Lanny Nelms lui ait remis le diplôme et annoncé son âge, Blitzstein a fait signe à l'assistance et a pleuré.
Et pourquoi pas ? Il est probablement le plus vieux diplômé de CentralHigh School depuis l'ouverture de l'école en 1974. Selon le porte-parole du district de Los Angeles, bien qu'aucune trace de ce genre ne soit conservée, Blitzstein est le plus vieux diplômé qu'il ait jamais entendu parler.
Obtenir son diplôme lui a pris 10 ans, au cours desquels le propriétaire de magasin à la retraite a subi une crise cardiaque et des problèmes de santé, et a perdu sa femme et deux frères.
Il a persévéré pour une raison. ""L'école est le meilleur remède que vous puissiez avoir"", a-t-il dit. ""Vous avez quelque chose à l'esprit - un objectif.""
Diplôme en main, Blitzstein déclare que _ .
""Vous savez quoi ? Je vais aller au collège"", a-t-il dit à un visiteur récemment. Il a vérifié les collèges communautaires de West Los Angeles et de Santa Monica et espère passer de là à une université de quatre ans.
""Ce n'est pas une blague"", a-t-il dit. ""Si je vis jusqu'en 2008, peut-être que je serai médecin."" 
","{
""question"": ""Que veut dire Blitzstein lorsqu'il dit \""il n'a pas encore fini\""?"",
""options"": [
""C'est un rêve dont il ne peut pas se réveiller."",
""Il poursuivra ses études et il y a encore beaucoup de chemin à parcourir."",
""Il ne peut pas croire qu'il puisse obtenir le diplôme."",
""Il ne pense pas qu'il réussira l'examen.""
],
""answer"": ""B"",
""explanation"": ""Blitzstein a déclaré qu'il allait aller au collège et qu'il voulait devenir médecin, ce qui implique que son parcours éducatif et ses objectifs de vie ne sont pas terminés.""
}"
"La Virginie s'apprête à mettre en œuvre la sanction la plus sévère en matière de conduite en état d'ivresse, qui obligera des milliers de primo-délinquants - qu'ils soient fortement ivres ou légèrement au-dessus de la limite légale - à installer dans leurs voitures des dispositifs de test d'alcoolémie qui peuvent verrouiller le contact. Les dispositifs fonctionnent ainsi : le conducteur doit souffler dans un appareil d'alcoolémie relié au contact de la voiture. Si le résultat est supérieur à la limite légale, la voiture ne démarrera pas. L'appareil exige également des ""retests aléatoires"" une fois que le conducteur est sur la route.

La loi actuelle de Virginie exige uniquement que les récidivistes de la conduite en état d'ivresse ou ceux dont le taux d'alcoolémie est égal ou supérieur à 0,15 aient un dispositif d'antidémarrage dans leur voiture.

La nouvelle loi, qui entrera en vigueur en juillet, augmentera d'environ quatre fois le nombre de personnes tenues d'utiliser des dispositifs d'antidémarrage, et les contrevenants devront payer environ 480 $ pour une installation typique de six mois.

La mesure a suscité un débat entre les groupes qui luttent contre la conduite en état d'ivresse et ceux qui représentent les contrevenants. Des groupes comme Mothers Against Drunk Driving et le Washington Regional Alcohol Program affirment que les 274 décès liés à l'alcool sur la route et plus de 5 500 blessés en Virginie en 2010 sont restés inacceptables malgré des années de répression contre la conduite en état d'ivresse. Les dispositifs d'antidémarrage, disent-ils, réduisent les récidives. Mais certains défenseurs publics et avocats soutiennent que les dispositifs constituent une peine trop sévère pour les contrevenants atteignant la limite légale d'alcoolémie de 0,08, et que le système judiciaire sera surchargé par un plus grand nombre de cas devant être jugés et que les conducteurs à faibles revenus seront touchés par les frais.

Le député Sal R. Iaquinto, qui a parrainé le projet de loi, a eu une réponse simple aux inquiétudes concernant le coût des dispositifs d'antidémarrage : ""Combien coûte une vie ?"" ""Souffler dans un tube pendant six mois, vous vous en souviendrez"", a déclaré Iaquinto, ""et vous n'êtes pas susceptible de recommencer."" 
","{
""question"": ""Certains groupes soutiennent la nouvelle loi parce que   _  ."",
""options"": [""le gouvernement peut être financé pour construire des routes"", ""certains décès et blessures liés à la circulation routière pourraient être évités"", ""les conducteurs à faibles revenus ne pourront plus se permettre de boire"", ""le système judiciaire est obligé de fonctionner plus efficacement""],
""answer"": ""B"",
""explanation"": ""Des groupes comme Mothers Against Drunk Driving et le Washington Regional Alcohol Program soutiennent la nouvelle loi car ils estiment que les 274 décès liés à l'alcool sur la route et plus de 5 500 blessés en Virginie en 2010 sont inacceptables et que les dispositifs d'antidémarrage réduisent les récidives.""
}"
"## Olympiques - Jeux olympiques modernes

L'archive complète des résultats des Jeux olympiques d'été et d'hiver, avec les listes des vainqueurs, les statistiques, les hymnes nationaux et les drapeaux de tous les pays depuis 1896.
Www. Olympic. it/english/home-16k

## Environnement

Les usines sidérurgiques de Beijing fonctionneront au niveau de coût le plus bas pendant les Jeux olympiques de 2008 [11 mars 2007] Beijing capable de traiter 90% des eaux usées [5 février 2007] *La qualité de l'air à Beijing s'est améliorée au cours des six dernières années [1er février 2007]* Le rêve des Jeux olympiques verts devient réalité...
en. Beijing2008.com/80/67/column211716780.shtml-52k

## Préfixe = st1 / Beijing annonce le tracé prévu du relais de la flamme olympique

Beijing a annoncé le tracé du relais de la flamme des Jeux olympiques de 2008 et a lancé la flamme olympique jeudi. ... Les Jeux olympiques verts sont l'un des trois concepts des Jeux de Beijing. ...
english.china.com/zh _ cn/news/sports/110592227/14069663.html-26k

## Symbole environnemental des Jeux olympiques de Beijing - 'Jeux olympiques verts'

Symbole environnemental des Jeux olympiques de Beijing - 'Jeux olympiques verts', officiellement annoncé le samedi 24 septembre 2005. Le symbole, créé à l'aide d'une forme d'art calligraphique, est composé de formes humaines et d'arbres, ...
my.opera.com/green _ head/blog/show.dml/92155-18k

## Forum des Jeux olympiques verts à Beijing 2004

Au nom du BOCOC, Wang Wei, vice-président exécutif du BOCOC, a fait une présentation sur les Jeux olympiques verts, a présenté le travail de protection de l'environnement du BMC et du BOCOC, et a répondu à plusieurs questions telles que la protection des vestiges culturels...
en.beijing2008.com/84/91/article211929184.shtml-36k

## Quiz des Jeux olympiques et anecdotes sur les Jeux olympiques

Qui était le fondateur des Jeux olympiques modernes ? Dans quelles villes les Jeux olympiques modernes devaient-ils se tenir/être programmés pendant les ""années de guerre"", c'est-à-dire 1916, 1940 et 1944 ? ... Dans quelles trois années des Jeux olympiques modernes ... Plus de questions ...
www.funtrivia.com/quizzes/sports/ olympic _ games.html-12k

## SITE WEB OFFICIEL DU MOUVEMENT OLYMPIQUE

... destinés aux jeunes chercheurs engagés dans la recherche scientifique sur le Mouvement olympique, son histoire et ses valeurs, et l'impact de la ... [Histoire complète] SPORT ACCORD [23 janvier 2005]...
www.olympic.org

## Héritage olympique antique et Jeux olympiques modernes à Athènes 2004

Comme le soutiennent les différents textes officiels, les symboles olympiques de l'ancienne Olympie, la flamme olympique et le marathon sont des ponts entre les Jeux olympiques antiques et modernes, ...
www.c2008.org/rendanews/knowledge _ detail.asp?id=911-106k 
","{
""question"": ""Quel site Web fournit une liste complète des vainqueurs des Jeux olympiques ?"",
""options"": [""Jeux olympiques - Jeux olympiques modernes"", ""Forum des Jeux olympiques verts à Pékin 2004"", ""Symbole environnemental des Jeux olympiques de Pékin - 'Jeux olympiques verts'"", ""Héritage olympique antique et Jeux olympiques modernes à Athènes 2004""],
""answer"": ""A"",
""explanation"": ""Le premier texte du document indique que le site Web \""Jeux olympiques - Jeux olympiques modernes\"" contient des informations complètes sur les Jeux olympiques, y compris les listes de vainqueurs.""
}"
